Master	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
1.479597	0.921322	1.069089	1.584072	0.938642	1.002522	1.395132	0.954278	
1.437300	0.931407	1.066962	1.590538	0.929082	1.019784	1.500730	0.977972	
1.416142	0.938831	1.062276	1.490506	0.947634	0.998115	1.517682	0.976038	
1.410726	0.949307	1.041107	1.426560	0.996776	1.004647	1.442130	0.960736	
1.425462	0.919159	1.057750	1.412297	0.951876	0.992229	1.270425	0.967234	
1.305077	0.920683	1.082074	1.597118	0.936664	1.004922	1.402990	0.968432	
1.512852	0.930410	1.072771	1.341584	0.932394	1.000028	1.449634	0.969474	
1.257918	0.958012	1.052081	1.450416	0.939849	1.024452	1.403451	1.025635	
1.430956	0.932317	1.043745	1.332375	0.937795	1.019511	1.476717	0.962744	
1.522720	0.935543	1.057389	1.475084	0.935726	0.990817	1.420880	0.979973	
1.372319	0.931524	1.048846	1.480024	0.945030	1.072168	1.476339	0.949947	
1.465694	0.896549	1.049498	1.441363	0.996675	1.001850	1.323934	0.960578	
1.316448	0.909891	1.048548	1.554617	0.926112	1.001737	1.303735	0.956962	
1.396417	0.932912	1.054773	1.613562	0.925706	1.020537	1.490804	0.965803	
1.369807	0.927122	1.029282	1.579664	0.964543	1.022048	1.425026	0.980937	
1.500737	0.924473	1.061894	1.478891	0.934559	1.036877	1.454140	1.004429	
1.479827	0.921957	1.051956	1.342687	0.936907	0.997887	1.040430	0.972585	
1.459263	0.923693	1.062572	1.526585	0.927273	1.013549	1.424226	0.954977	
1.377394	0.919725	1.069362	1.581205	0.939099	1.001462	1.404619	0.955613	
1.366424	0.940402	1.036599	1.474770	0.941531	0.997017	1.503378	0.953022	
1.375171	0.920467	1.030784	1.501912	0.947774	1.001104	1.449055	0.962729	
1.439461	0.930089	1.045869	1.468620	0.964820	1.016574	1.356286	0.968368	
1.490137	0.924674	1.064097	1.597299	0.946888	1.010122	1.354466	0.997235	
1.401957	0.929924	1.060520	1.504442	0.922757	1.027952	1.528993	0.967410	
1.402471	0.921334	1.070791	1.556907	0.932362	1.008382	1.374384	0.950737	
1.320033	0.913171	1.044310	1.311503	0.934269	0.985076	1.428024	0.964564	
1.378986	0.918162	1.054878	1.618979	0.926816	1.001123	1.346710	0.991670	
1.469607	0.934231	1.052304	1.511495	0.927340	0.983334	1.470276	1.013941	
1.296295	0.929127	1.066684	1.532159	0.945358	0.999130	1.506342	0.982839	
1.416597	0.920209	1.048217	1.316303	0.936691	1.003837	1.371571	0.962942	
1.401794	0.922086	1.046888	1.546493	1.038528	0.989365	1.206483	0.955976	
1.390802	0.921325	1.043798	1.596642	0.961378	1.007489	1.457957	0.966616	
1.376970	0.926928	1.024289	1.596062	0.938400	0.994240	1.372705	0.950171	
1.311182	0.909006	1.020472	1.337652	0.936776	1.074507	1.441349	0.953824	
1.448921	0.938809	1.051643	1.438430	0.943723	1.006226	1.315671	0.961777	
1.594737	0.928788	1.026885	1.509142	0.998678	0.992662	1.372745	0.959558	
1.495966	0.924260	1.036086	1.523448	0.930122	1.010735	1.413137	0.959625	
1.562212	0.921900	1.011248	1.548690	0.930677	1.083675	1.500595	0.947253	
1.558808	0.907033	1.027893	1.623212	0.929882	1.008839	1.520985	0.953057	
1.570335	0.932782	1.046743	1.571762	0.943777	1.022761	1.545326	0.956808	
1.480240	0.927174	1.063891	1.503610	0.944044	1.009965	1.501118	0.962722	
1.631603	0.932959	1.079863	1.503616	0.930619	0.998213	1.457580	0.981039	
1.394306	0.924899	1.060091	1.630729	0.954380	1.002277	1.509133	0.982152	
1.466386	0.927530	1.044819	1.600353	0.945504	1.011822	1.514019	0.955440	
1.340219	0.958601	1.034868	1.414032	0.944925	1.010417	1.519107	0.952663	
1.612570	0.933892	1.059471	1.510408	0.947166	1.065569	1.412918	0.957663	
1.389681	0.912133	1.063310	1.625218	0.942321	1.006892	1.401177	1.016501	
1.418626	0.940327	1.064897	1.518407	0.949101	1.006055	1.524641	0.952215	
1.444547	0.921712	1.058189	1.489795	0.937031	1.003503	1.457614	0.983466	
1.490813	0.931940	1.056797	1.484228	0.947874	0.989824	1.363438	0.974565	
1.561025	0.934844	1.054355	1.536386	0.996015	1.004905	1.405999	0.944027	
1.413197	0.926840	1.069226	1.574253	0.952109	1.004553	1.473273	0.974439	
1.336050	0.938850	1.072902	1.484471	0.938955	1.006797	1.501455	0.981345	
1.533746	0.912175	1.055906	1.447830	0.957747	1.009245	1.467713	0.959266	
1.432587	0.909156	1.039240	1.637883	0.931824	1.020417	1.454102	1.017413	
1.479372	0.938634	1.070940	1.577822	0.941552	1.016547	1.540914	0.969344	
1.393270	0.925152	1.071560	1.527802	0.949280	0.987168	1.555160	0.981576	
1.390451	0.940489	1.087072	1.607146	0.933654	0.980844	1.539364	0.978293	
1.587783	0.933935	1.067796	1.539130	0.943860	0.992242	1.514600	0.989731	
1.462507	0.923667	1.031078	1.604273	0.956543	0.999999	1.535810	0.964988	
1.541078	0.958456	1.067610	1.601382	0.940663	0.998847	1.516095	1.005955	
1.438920	0.925129	1.064894	1.578399	0.941000	1.013932	1.452060	0.983055	
1.480031	0.928311	1.067128	1.542151	0.929074	1.009543	1.498272	1.012067	
1.406651	0.923990	1.043025	1.592153	0.945938	0.989843	1.347153	0.956545	
1.384327	0.948166	1.027180	1.619882	0.931630	0.993505	1.527113	0.953669	
1.603511	0.930268	1.057289	1.624679	0.939818	1.015848	1.528012	0.948496	
1.401901	0.929130	1.014214	1.636198	0.947740	1.005892	1.559944	0.973555	
1.497659	0.938743	1.034850	1.597977	0.943847	1.010299	1.499495	0.972787	
1.574698	0.936463	1.062206	1.656730	0.930534	1.007458	1.534543	0.977780	
1.562525	0.948631	1.046031	1.625995	1.031911	0.995981	1.529456	0.973301	
1.452979	0.942656	1.035728	1.625964	0.936828	0.992170	1.528790	0.971837	
1.466776	0.951272	1.054519	1.575310	0.943691	1.004922	1.550414	0.980992	
1.471329	0.953727	1.077581	1.545118	0.940884	0.993884	1.431671	0.994492	
1.621237	0.924063	1.058435	1.558025	0.955145	0.993847	1.313986	0.970443	
1.510259	0.937362	1.067545	1.530909	0.960500	0.988082	1.446355	0.965264	
